Indicateur;Alsace;Aquitaine;Auvergne;Basse-Normandie;Bourgogne;Bretagne;Centre;Champagne-Ardenne;Corse;Franche-Comté;Guadeloupe;Guyane;Haute-Normandie;Île-de-France;La Réunion;Languedoc-Roussillon;Limousin;Lorraine;Martinique;Midi-Pyrénées;Nord-Pas-de-Calais;Pays de la Loire;Picardie;Poitou-Charentes;Provence-Alpes-Côte d'Azur;Rhône-Alpes;Total
Intercept;0.321290519026021;0.252592370499231;0.254849249370988;0.256609237231465;0.275440738577815;0.256672722563451;0.27896200075883;0.270383877361562;0.232075648904124;0.283011458797739;0.12131182619556;0.102414246624843;0.289161995502319;0.314020915573006;0.124577225049117;0.222600741837597;0.239669395366398;0.260424653046578;0.125324889891799;0.265974615796957;0.263781523183509;0.291218261065987;0.247520320359488;0.249728598429662;0.211994065984049;0.286660601451589;0.269338427525389
Coefficient;-1.2604063968686e-05;1.65310575867137e-05;-5.66243307705199e-06;5.68856712604365e-06;-1.9294132721842e-05;9.04506409859365e-06;-1.70515795440665e-05;-2.97797751956801e-05;5.26958474525251e-06;-3.80693839874719e-05;8.90598429847311e-05;4.43030419781973e-05;-2.26990198454862e-05;5.81300401430363e-05;7.94253552127348e-05;2.31693870916492e-06;-1.31130320602088e-05;-2.63651054150608e-05;9.1193141329591e-05;1.4470830549953e-05;1.34137220566618e-05;1.16436587171869e-05;-2.56431638373268e-05;-6.3558541670893e-06;4.86490178801497e-05;1.74522756636526e-05;1.74457653710616e-05
P-V coef;0.0198761511796441;0.00197043496794816;0.197016791454762;0.284652685667706;0.000817323123752025;0.0903104100729419;0.006438570536303;8.03456350960393e-05;0.184026891672727;4.38326496912017e-05;1.36571891066401e-07;1.83002155501218e-06;0.0034252120998828;4.95084809253283e-06;2.22360989479112e-08;0.731037604992282;0.0191718828746594;0.00073405105770585;1.42266857302013e-07;0.00115018210805046;0.0057251298882284;0.0293954260137727;0.00163927017891903;0.26646637253342;5.99116118042051e-06;0.0247948550582089;0.00716205491044593
SCE;0.000248714523040039;0.000354452118350815;3.31425494773416e-05;4.02002497698109e-05;0.000411689513907839;0.000108334634416484;0.000339592725260162;0.000881330839706664;3.4219482514467e-05;0.00144020070501731;0.0057347128138352;0.000659482714835015;0.000601330181177848;0.00735223704882032;0.00577633813776048;4.80715192913563e-06;0.000146041372111592;0.000628011579245465;0.00747145724563923;0.000259218033449157;0.000223573592878773;0.000222620541325421;0.000558791727352099;4.25006416336506e-05;0.00315381603918378;0.000464804041193224;0.00041655974374181
SCR;0.000685603615511342;0.000487629764429512;0.000332392692690731;0.000595017889811855;0.000460339007198925;0.000608683295985676;0.000643858816214417;0.00061791368080361;0.000322722161272907;0.000905813626980453;0.00148674511165199;0.000248273827153337;0.000954161646377363;0.00322396263632868;0.00117184271671587;0.000709854015623399;0.000397202238395346;0.000685629703633706;0.00194797272080065;0.0003133431003198;0.000409500327808346;0.000715735741098153;0.000734781668242185;0.000581655946913206;0.00142504164928054;0.00139497489468825;0.000815411719388326
R²;0.266199;0.420924;0.090669;0.063286;0.472106;0.151091;0.345307;0.58785;0.095869;0.613893;0.794121;0.726497;0.386585;0.695168;0.831345;0.006726;0.268832;0.478069;0.793196;0.452734;0.353156;0.237245;0.431975;0.068093;0.688778;0.249924;0.338125
R² ajusté;0.225432;0.388753;0.04015;0.011246;0.442778;0.103929;0.308935;0.564953;0.045639;0.592442;0.782683;0.711303;0.352507;0.678233;0.821976;-0.048455;0.228212;0.449073;0.781707;0.422331;0.31722;0.19487;0.400418;0.01632;0.671488;0.208253;0.301354
